stat,signal,n,mae,bias,r2
HR,Buy Low,19,6.2632,+2.4737,0.4557
HR,Slight Buy,17,8.5882,+4.8235,0.2520
HR,Neutral,84,6.6190,+3.9762,0.4602
HR,Slight Sell,13,5.7692,+5.0000,0.4917
HR,Sell High,8,6.1250,+0.6250,0.8567
HR,OVERALL,141,6.7021,+3.7801,0.4716
R,Buy Low,19,15.6842,-3.2632,0.4001
R,Slight Buy,17,15.8824,+5.5294,0.1544
R,Neutral,84,16.8095,+3.7381,0.2812
R,Slight Sell,13,15.3077,+12.6923,0.2017
R,Sell High,8,16.6250,-0.1250,0.5596
R,OVERALL,141,16.3972,+3.6170,0.2942
RBI,Buy Low,19,18.2105,+9.2632,0.4438
RBI,Slight Buy,17,22.6471,+13.9412,0.1922
RBI,Neutral,84,17.1905,+9.5000,0.2726
RBI,Slight Sell,13,15.9231,+13.1538,0.1874
RBI,Sell High,8,13.0000,-2.7500,0.6019
RBI,OVERALL,141,17.6312,+9.6454,0.2952
AVG,Buy Low,19,0.0200,-0.0187,0.1211
AVG,Slight Buy,17,0.0207,-0.0156,0.5094
AVG,Neutral,84,0.0210,-0.0088,0.2836
AVG,Slight Sell,13,0.0236,-0.0027,0.0203
AVG,Sell High,8,0.0129,-0.0021,0.7915
AVG,OVERALL,141,0.0206,-0.0100,0.3076
