date,giving,getting,give_score,get_score,scarcity_adj,trajectory_adj,verdict
2026-04-24,Jesús Luzardo,José Soriano,0.4531,-0.5129,-0.1,0.0,AVOID — significant luck disadvantage incoming
2026-04-24,José Soriano,Jesús Luzardo,-0.5129,0.4531,0.15,0.0,STRONG TRADE — clear luck advantage on the incoming side
2026-04-24,José Soriano; Michael Wacha,Jesús Luzardo; Joe Ryan,-0.4564,0.4009,0.3,0.0,STRONG TRADE — clear luck advantage on the incoming side
2026-04-24,Aaron Judge,Jesús Luzardo,0.251,0.4531,0.15,0.0,STRONG TRADE — clear luck advantage on the incoming side
2026-04-24,Jesús Luzardo,José Soriano,0.4531,-0.5129,0.0,0.0,AVOID — significant luck disadvantage incoming
2026-04-24,José Soriano,Jesús Luzardo,-0.5129,0.4531,0.0,0.0,STRONG TRADE — clear luck advantage on the incoming side
2026-04-24,José Soriano; Michael Wacha,Jesús Luzardo; Joe Ryan,-0.4564,0.4009,0.0,0.0,STRONG TRADE — clear luck advantage on the incoming side
2026-04-24,Aaron Judge,Jesús Luzardo,0.251,0.4531,0.0,0.0,FAVORABLE — meaningful luck advantage
2026-05-02,Paul Skenes,Ben Rice,0.0,-0.2638,0.0,0.0,AVOID — significant projected value disadvantage
2026-05-02,Paul Skenes,Ben Rice,0.0,-0.2638,0.0,0.0,AVOID — significant projected value disadvantage
2026-05-02,Tarik Skubal,Ben Rice,0.2328,-0.2638,0.0,0.0,AVOID — significant projected value disadvantage
2026-05-02,Ronald Acuña,Ben Rice,0.2149,-0.2638,0.0,0.0,AVOID — significant projected value disadvantage
2026-05-02,Tarik Skubal,Ben Rice,0.2328,-0.2638,0.0,0.0,AVOID — significant projected value disadvantage
2026-05-02,Tarik Skubal,Ben Rice,0.2328,-0.2638,0.0,0.0,AVOID — significant projected value disadvantage
2026-05-03,Jesús Luzardo,José Soriano,0.5322,-0.5868,0.0,0.0,UNFAVORABLE — meaningful projected value disadvantage
2026-05-03,José Soriano,Jesús Luzardo,-0.5868,0.5322,0.0,0.0,FAVORABLE — meaningful projected value advantage
2026-05-03,José Soriano; Michael Wacha,Jesús Luzardo; Joe Ryan,-0.4143,0.4768,0.0,0.0,STRONG TRADE — clear projected value advantage incoming
2026-05-03,Aaron Judge,Jesús Luzardo,0.1866,0.5322,0.0,0.0,AVOID — significant projected value disadvantage
2026-05-03,Jesús Luzardo,José Soriano,0.5322,-0.5868,0.0,0.0,UNFAVORABLE — meaningful projected value disadvantage
2026-05-03,José Soriano,Jesús Luzardo,-0.5868,0.5322,0.0,0.0,FAVORABLE — meaningful projected value advantage
2026-05-03,José Soriano; Michael Wacha,Jesús Luzardo; Joe Ryan,-0.4143,0.4768,0.0,0.0,STRONG TRADE — clear projected value advantage incoming
2026-05-03,Aaron Judge,Jesús Luzardo,0.1866,0.5322,0.0,0.0,AVOID — significant projected value disadvantage
