name,mlbam_id,luck_signal,luck_score,prior_xwoba,prior_pa,recent_xwoba,recent_pa,trend_delta,trend_dir,ros_woba,audit_correct
Salvador Pérez,521692,Buy Low,0.0553,0.4080,78,0.3025,74,-0.1055,Cold,0.3371,True
Josh Bell,605137,Buy Low,0.0811,0.3229,68,0.2470,56,-0.0760,Cold,0.3510,True
Matt Olson,621566,Buy Low,0.0536,0.3819,73,0.3139,92,-0.0680,Cold,0.3626,True
Mickey Moniak,666160,Buy Low,0.0530,0.3453,59,0.2687,61,-0.0766,Cold,0.3810,True
Jo Adell,666176,Buy Low,0.0465,0.3431,58,0.2988,48,-0.0443,Cold,0.3693,True
Eric Wagaman,676572,Buy Low,0.0410,0.4027,62,0.2406,75,-0.1622,Cold,0.2697,False
Andrew Vaughn,683734,Buy Low,0.0914,0.3189,76,0.2915,81,-0.0275,Cold,,True
Taylor Ward,621493,Buy Low,0.0473,0.3050,76,0.3104,75,0.0053,Flat,0.3654,True
Jake Burger,669394,Buy Low,0.0435,0.2960,55,0.3154,46,0.0194,Flat,0.3218,True
Gabriel Moreno,672515,Buy Low,0.0448,0.3252,49,0.3216,57,-0.0036,Flat,,True
Otto Lopez,672640,Buy Low,0.0433,0.3102,63,0.3250,20,0.0148,Flat,0.3544,True
Matt Mclain,680574,Buy Low,0.0531,0.3213,46,0.3039,87,-0.0174,Flat,0.3011,True
Marcus Semien,543760,Buy Low,0.0657,0.2984,71,0.3238,84,0.0254,Hot,0.3296,True
Brandon Nimmo,607043,Buy Low,0.0484,0.2816,75,0.3652,79,0.0837,Hot,0.3617,True
Gleyber Torres,650402,Buy Low,0.0413,0.3429,49,0.3936,89,0.0507,Hot,0.3695,True
Jonathan India,663697,Buy Low,0.0477,0.3066,70,0.3417,86,0.0351,Hot,0.3101,True
Brandon Lowe,664040,Buy Low,0.0451,0.2554,66,0.3675,75,0.1122,Hot,0.3972,True
Alec Bohm,664761,Buy Low,0.0443,0.2677,75,0.3764,67,0.1087,Hot,0.3606,True
Alejandro Kirk,672386,Buy Low,0.0400,0.2667,56,0.4393,58,0.1726,Hot,0.3719,True
Yainer Diaz,673237,Buy Low,0.0450,0.2538,59,0.3639,80,0.1101,Hot,0.3344,True
Ceddanne Rafaela,678882,Buy Low,0.0502,0.3032,54,0.3951,75,0.0918,Hot,0.3406,True
Vinnie Pasquantino,686469,Buy Low,0.0655,0.2645,83,0.3774,85,0.1128,Hot,0.3773,True
Colt Keith,690993,Buy Low,0.0494,0.2833,48,0.4288,56,0.1456,Hot,0.3478,True
Zach Mckinstry,656716,Sell High,-0.0956,0.3647,61,0.2718,77,-0.0929,Cold,0.3385,True
Pavin Smith,656976,Sell High,-0.1470,0.4342,58,0.2678,61,-0.1664,Cold,0.3006,True
Gavin Lux,666158,Sell High,-0.0761,0.3428,66,0.3090,73,-0.0338,Cold,0.3050,True
Alex Bregman,608324,Sell High,-0.0699,0.3556,80,0.3576,90,0.0020,Flat,,True
Joey Bart,663698,Sell High,-0.0937,0.3555,46,0.3639,72,0.0084,Flat,,True
Paul Goldschmidt,502671,Sell High,-0.0790,0.3233,82,0.3572,76,0.0338,Hot,0.3150,True
Aaron Judge,592450,Sell High,-0.1061,0.4458,85,0.4904,87,0.0446,Hot,0.4337,True
Bryson Stott,681082,Sell High,-0.0678,0.3030,75,0.3333,75,0.0304,Hot,0.2668,True
Victor Scott,687363,Sell High,-0.0765,0.2605,63,0.2895,65,0.0290,Hot,0.2736,True
Corey Seager,608369,Slight Buy,0.0306,0.4807,61,0.4227,23,-0.0581,Cold,0.3742,True
Ryan Mountcastle,663624,Slight Buy,0.0278,0.3395,53,0.3105,77,-0.0289,Cold,,True
Vladimir Guerrero,665489,Slight Buy,0.0343,0.3979,79,0.3726,84,-0.0253,Cold,0.4020,True
Bo Bichette,666182,Slight Buy,0.0240,0.3723,85,0.3378,85,-0.0345,Cold,0.3579,True
Spencer Steer,668715,Slight Buy,0.0365,0.3016,57,0.2691,88,-0.0324,Cold,0.3342,True
Brayan Rocchio,677587,Slight Buy,0.0392,0.3177,50,0.1811,30,-0.1366,Cold,,True
Bryce Harper,547180,Slight Buy,0.0334,0.3853,86,0.3870,85,0.0017,Flat,0.3955,True
Michael Conforto,624424,Slight Buy,0.0393,0.2998,64,0.2973,72,-0.0025,Flat,0.3086,True
Rafael Devers,646240,Slight Buy,0.0314,0.4339,84,0.4396,93,0.0057,Flat,0.3689,True
Manny Machado,592518,Slight Buy,0.0348,0.3967,75,0.4446,75,0.0480,Hot,0.3958,True
Mookie Betts,605141,Slight Buy,0.0247,0.2941,75,0.3578,88,0.0637,Hot,0.2990,False
Dansby Swanson,621020,Slight Buy,0.0304,0.2892,74,0.4194,77,0.1302,Hot,0.3286,True
Carlos Correa,621043,Slight Buy,0.0358,0.2840,68,0.3201,63,0.0362,Hot,0.3398,True
Cody Bellinger,641355,Slight Buy,0.0281,0.2544,66,0.3738,80,0.1194,Hot,0.3942,True
Willy Adames,642715,Slight Buy,0.0204,0.2879,88,0.3343,84,0.0464,Hot,0.3525,True
Ty France,664034,Slight Buy,0.0244,0.3318,74,0.3573,77,0.0255,Hot,0.2975,False
Taylor Walls,670764,Slight Buy,0.0207,0.2338,50,0.2870,54,0.0532,Hot,0.3039,True
José Altuve,514888,Slight Sell,-0.0461,0.2761,79,0.2467,76,-0.0294,Cold,0.3669,False
Mike Yastrzemski,573262,Slight Sell,-0.0608,0.3593,68,0.3364,77,-0.0229,Cold,0.2849,True
Cedric Mullins,656775,Slight Sell,-0.0486,0.3558,63,0.2169,76,-0.1389,Cold,0.2767,True
Fernando Tatís,665487,Slight Sell,-0.0419,0.4262,75,0.3513,78,-0.0749,Cold,0.3376,True
Brice Turang,668930,Slight Sell,-0.0618,0.3542,85,0.3246,64,-0.0296,Cold,0.3039,True
Gabriel Arias,672356,Slight Sell,-0.0514,0.3054,56,0.2772,77,-0.0282,Cold,0.2873,True
Seiya Suzuki,673548,Slight Sell,-0.0528,0.3937,55,0.2998,84,-0.0940,Cold,0.3387,True
Elly De La Cruz,682829,Slight Sell,-0.0411,0.3114,81,0.2695,90,-0.0420,Cold,0.3790,False
Sal Frelick,686217,Slight Sell,-0.0507,0.3245,77,0.2619,56,-0.0626,Cold,0.3302,True
Jung Hoo Lee,808982,Slight Sell,-0.0512,0.3680,85,0.2752,79,-0.0927,Cold,0.2870,True
Jorge Polanco,593871,Slight Sell,-0.0431,0.4115,43,0.4229,61,0.0114,Flat,0.2833,True
Logan O'Hoppe,681351,Slight Sell,-0.0523,0.3047,56,0.2962,65,-0.0086,Flat,0.2943,True
Michael Busch,683737,Slight Sell,-0.0584,0.3458,68,0.3565,67,0.0108,Flat,0.3841,True
Trea Turner,607208,Slight Sell,-0.0423,0.2859,87,0.3239,87,0.0381,Hot,0.3577,False
Trent Grisham,663757,Slight Sell,-0.0455,0.3409,44,0.4244,73,0.0835,Hot,0.3568,True
Kyle Stowers,669065,Slight Sell,-0.0629,0.2815,67,0.4737,73,0.1922,Hot,0.4071,False
Will Smith,669257,Slight Sell,-0.0540,0.2913,47,0.4216,64,0.1304,Hot,0.4188,False
Josh Jung,673962,Slight Sell,-0.0578,0.2713,60,0.3675,78,0.0962,Hot,0.2949,True
Andy Pages,681624,Slight Sell,-0.0504,0.2805,51,0.3700,89,0.0895,Hot,0.3318,True
