dimension,group,n,signal_acc,rtm_acc,delta_pp,signal_wins
hitter_tier,Buy Low,88,94.3,88.6,5.7,True
hitter_tier,Slight Buy,85,72.9,74.1,-1.2,False
hitter_tier,Slight Sell,82,85.4,81.7,3.7,True
hitter_tier,Sell High,50,94.0,94.0,0.0,False
hitter_tier,Buy Low (VE>=0.045),65,98.5,90.8,7.7,True
hitter_year,2022,51,86.3,86.3,0.0,False
hitter_year,2023,64,87.5,92.2,-4.7,False
hitter_year,2024,96,81.2,76.0,5.2,True
hitter_year,2025,94,89.4,84.0,5.3,True
hitter_position,C,20,95.0,80.0,15.0,True
hitter_position,1B,35,74.3,77.1,-2.9,False
hitter_position,2B,36,83.3,86.1,-2.8,False
hitter_position,3B,26,88.5,80.8,7.7,True
hitter_position,SS,33,81.8,84.8,-3.0,False
hitter_position,OF,91,85.7,80.2,5.5,True
hitter_ownership,Low (<20%),115,86.1,88.7,-2.6,False
hitter_ownership,Mid (20-60%),34,88.2,91.2,-2.9,False
hitter_ownership,High (>60%),94,80.9,68.1,12.8,True
FP_analysis,BL_FP_all,5,0.0433,0.3212,-0.0292,False
pitcher_tier,Buy Low,89,86.5,84.3,2.2,True
pitcher_tier,Slight Buy,50,62.0,80.0,-18.0,False
pitcher_tier,Slight Sell,76,82.9,84.2,-1.3,False
pitcher_tier,Sell High,69,91.3,97.1,-5.8,False
pitcher_year,2022,61,85.2,86.9,-1.6,False
pitcher_year,2023,68,80.9,89.7,-8.8,False
pitcher_year,2024,84,85.7,84.5,1.2,True
pitcher_year,2025,71,77.5,85.9,-8.5,False
